#period	period time	calc time
1	2492	1501
2	3247	1498
3	2998	1253
4	3248	1502
5	3497	1501
6	2997	1247
7	3248	1498
8	3247	2001
9	3499	1750
10	3496	2001
11	3249	1509
12	3498	2001
13	2997	2002
14	3247	1752
15	3498	1750
16	3497	2001
17	3248	1750
18	3499	1999
19	2996	2001
20	3249	1750
21	3496	1501
22	3498	2002
23	2998	2000
24	3247	1501
25	3748	2001
26	2998	2001
27	3249	2000
28	3497	2000
29	2997	2001
30	3498	2001
31	3497	1503
32	2998	1501
33	3248	2001
34	3248	2001
35	3497	2001
36	3246	2003
37	3000	2501
38	2998	1750
39	3497	1750
40	3248	2002
41	3497	2001
42	3248	1751
43	3497	2252
44	3249	2001
45	3249	1749
46	3496	2251
47	2999	1750
48	3496	1501
49	3248	2002
50	3248	2000
51	3248	1750
52	3497	2250
53	3247	2001
54	3250	1749
55	3496	2251
56	2998	2012
57	3498	2004
58	3497	2252
59	3248	2001
60	3245	2003
61	3496	2254
62	3001	2002
63	3250	2002
64	3248	2249
65	3497	2000
66	3246	2002
67	2998	2002
68	3499	1499
69	3246	1751
70	3248	2251
71	3498	1501
72	3249	1500
73	3247	2250
74	3247	2001
75	3247	1751
76	3248	1752
77	3248	2000
78	3247	2001
79	3498	2249
80	2998	2000
81	3249	1999
82	3245	2001
83	3497	2247
84	3249	2003
85	2997	1753
86	3248	2001
87	3497	1502
88	3248	2001
89	3244	2254
90	3252	1751
91	3247	1751
92	3248	2251
93	3248	2001
94	3498	2253
95	3250	1749
96	2998	1749
97	3246	1751
98	3748	1751
99	2999	2000
100	3247	2000
101	3497	2000
102	3248	2000
103	2997	1753
104	3498	1751
105	3247	1501
106	3248	2001
107	3249	2000
108	3498	2000
109	3246	2001
110	2998	2001
111	3497	1760
112	3499	2007
113	2998	2000
114	3243	1754
115	3500	1495
116	3255	1995
117	3242	1756
118	3498	2500
119	3246	2251
120	2997	1757
121	3501	1502
122	3251	1997
123	3243	2001
124	3246	1751
125	3505	2246
126	3247	1497
127	3241	1752
128	3497	1752
129	3241	1515
130	3256	1758
131	3497	1752
132	3247	2000
133	2997	2011
134	3500	1751
135	3253	1741
136	3242	1502
137	3247	2000
138	3250	1748
139	3499	1998
140	2995	1999
141	3495	1498
142	3498	2004
143	3000	2000
144	3502	1746
145	3242	1501
146	3246	2250
147	3256	1995
148	3242	1507
149	3497	2249
150	2996	1502
151	3247	1761
